Description	NSLA_1001	NSLA_1003	NSLA_1005	NSLA_1006	NSLA_1009	NSLA_1010	NSLA_1011	NSLA_1012	NSLA_1013	NSLA_136	NSLA_138	NSLA_139	NSLA_14	NSLA_168	NSLA_179	NSLA_187	NSLA_2_116	NSLA_2_118	NSLA_2_171	NSLA_2_184	NSLA_2_19	NSLA_2_220	NSLA_2_221	NSLA_2_24	NSLA_2_252	NSLA_2_265	NSLA_2_266	NSLA_2_273	NSLA_2_275	NSLA_2_30	NSLA_2_350	NSLA_2_363	NSLA_2_369	NSLA_2_379	NSLA_2_407	NSLA_2_41	NSLA_2_411	NSLA_2_5	NSLA_2_8	NSLA_2_97	NSLA_20	NSLA_216	NSLA_235	NSLA_239	NSLA_259	NSLA_271	NSLA_291	NSLA_300	NSLA_310	NSLA_311	NSLA_312	NSLA_350	NSLA_356	NSLA_379	NSLA_380	NSLA_407	NSLA_421	NSLA_429	NSLA_460	NSLA_464	NSLA_469	NSLA_479	NSLA_483	NSLA_490	NSLA_50	NSLA_519	NSLA_535	NSLA_541	NSLA_542	NSLA_563	NSLA_571	NSLA_585	NSLA_589	NSLA_6	NSLA_61	NSLA_611	NSLA_616	NSLA_632	NSLA_649	NSLA_653	NSLA_657	NSLA_66	NSLA_663	NSLA_665	NSLA_667	NSLA_672	NSLA_675	NSLA_677	NSLA_679	NSLA_693	NSLA_696	NSLA_698	NSLA_699	NSLA_72
AAK1:S637-p	-0.091563	0	1.37627	0	-0.636277	1.36883	0.228397	1.60797	1.6263	0	-0.848212	-0.0131908	0.160748	0.0564764	1.22179	0.604813	-0.128133	1.29403	0.961382	-0.912399	-0.560587	0.616221	0.00636074	0.916113	0.911169	-0.424278	-0.344697	-0.669208	1.613	0.0107569	-0.510251	0	0.304299	1.59776	1.03448	2.14671	-0.195834	-1.37984	-1.837	0.821238	-0.151971	-0.182587	-0.945647	-0.411632	1.21124	0.961399	-0.333483	-1.81296	-2.32137	-0.545321	0.166082	-0.428819	-1.3784	1.5726	-0.120871	0.0628843	-2.64988	0.231872	0	0.471687	-0.210757	-1.43085	0.533664	-1.26419	-1.13291	0.0608303	0.181693	-0.130646	1.45508	0.979211	-1.61616	1.26399	0	0.37513	1.72776	-2.45738	0.073054	-0.494801	-0.442629	-0.395485	-0.0301812	0	-0.0824302	-1.50245	1.53952	0.65141	0.297943	0	0.30216	1.53347	0.469063	0.446385	0.0323452	-0.53981
AAK1:T620-p	-0.609546	1.52365	0.988994	-0.434472	0	0.385551	-0.914252	1.03203	0.760394	-0.135962	0.965168	-0.984735	0.063644588	2.64643	0	0.235606	-0.957524	0	-0.703567	0.437174	-1.81072	0.851749	0.87675	0.421321	1.24113	0.478728	-0.977366	1.15796	-0.0764568	0	0.112923	-0.148037	-1.42374	0.500116	-0.583062	1.70477	-0.30869	0.345085	-1.02458	0.773503	0.0472608	-0.780114	-0.386189	0.0409585	1.47284	-0.0135958	0.64668	-0.455315	0	0.308297	0.884128	0.896762	-2.08977	-0.24567833	-0.03925325	0.042738634	-0.509375	-0.240339	-0.462066	0.419846	-0.157523	0.709271	0.690266	-0.462738	-1.60036	-0.473932	-1.27989	-0.18806812	1.19074	0.0220523	-0.226844096	0.635645	-0.767685	0	-0.346404	0.195185	0.908281	-2.50194	-1.20963	-0.368773	0.287697474	2.4116	0.591545	0.12487259	1.37143	-0.250545	-0.253582	0.035430144	-0.104171175	0.132775	0.172126	0.003342637	-0.014067928	0.894363
AAK1:T653-p	1.25429	0	0.24527	0.415362	0	0.797584	-0.261652	0.612451	1.00501	-0.809578	0.0144294	0.46663	0.063644588	0.12980398	1.71723	0.0735508	0.782089	2.43133	-0.251337	0.199224405	0.367406	0.457059	0	-0.724934	-0.393728	-1.05805	-1.96649	1.19992	2.12156	0.104655	0.555128	-0.786997	-0.355448	-1.88305	-0.112916196	1.05769	-0.647255	-0.806282	-0.0687199	0.685456	1.02761	-0.043455221	0	0.050214001	1.35211	1.02379	0.731578	-1.73709	0	-0.355562	-0.582724	0.229434	0	-0.24567833	0.299824	-0.0158464	0.285722855	0.15832	-1.92804	0.489403	-0.0506434	-1.06024	-0.335604	0	1.82844	-0.956136	0.736982	0	0.292384	-0.146906	0.514944	1.09276	-0.459956	-0.186187	-0.491483069	-0.260217606	-0.049251438	-0.283885	-0.192087074	-0.516385	0.287697474	-0.262575	-0.277854	-0.437248	1.7003	-0.16875775	0.23044097	0.0270411	0.625632	0	-0.044972689	-0.132917	0.445636	1.71687
AAK1:S624-p	0.19642327	0.152148362	0.988994	-0.434472	0.0826373	0	-1.20312	0.538826	0.474092	0	0.821133	-0.984735	0.063644588	2.58332	-0.211843	0.135464	-0.957524	-0.705605	0.071027592	-0.488642	-1.74702	1.00164	0.865603	0.421321	1.24113	0.478728	-0.977366	0.104204435	-0.0764568	0.090834589	0.352665	-0.130959675	-1.03327	-0.356090301	0.306927	1.70477	-0.137139386	0.958046	-0.766556	-0.140958279	0	-0.780114	-0.773387	0.249943	1.47284	0	0.64668	-0.463075	0	0.308297	0.700803	0.896762	-2.08977	-0.24567833	-0.03925325	0.042738634	-0.467699	-0.676572	-0.462066	0.453814	-0.157523	0.063723729	0.690266	-0.462738	-1.71676	-0.473932	-1.27989	-0.18806812	1.19074	0	-0.226844096	0.29041	-0.767685	0	-0.346404	0.195185	0.908281	-2.40589	-1.20963	-0.321325	0.287697474	2.40203	0.741658	0.12487259	1.37143	-0.0882691	-0.253582	0.035430144	-0.104171175	0.358543	0.510163	0.003342637	-0.014067928	0.894363
ABCC1:S930-p	0.134732	-0.25123	0.102998	1.36365	0.178068	0.718307	-0.454623	-0.126777	0.408807	-1.53933	-0.144665	-0.372887	0.063644588	0.12980398	1.17114	0	-0.454435	1.7631	-0.874355	0	0	0.275984	0.866059	-1.32222	0.37084	-2.21436	0	-1.37786	-0.522259	0.541917	-1.01371	-0.160791	0.38454	0	-1.03063	0.420417	-1.97785	-0.660249	-0.290334	-1.69097	-0.207304571	0.84519	0.398875	0.050214001	1.08268	-0.388125	0.542572	-1.61399	-0.971358	-1.21429	1.75369	-0.986775	0	-0.24567833	0.742392	0.702266	0.285722855	0.157969893	0.516893	-0.10820499	0.647897	0	-0.113791	0.22016	-1.25081	0	-1.97067	-1.71758	0.36624	0.294301	-2.2139	0.457467	0.702405	-1.9163	0.425405	-0.973939	1.02967	0.027756863	0.604693	1.67635	0.287697474	-0.540687	-0.779645	-0.85264	-0.130967	-0.16875775	1.88352	0.168869	-0.686718	0	-0.044972689	-0.376857	0	-0.391267
ABCC3:S908-p	0.518651	-0.164404	0.200016699	-0.009362227	-0.999103	-1.76337	-1.63249	0.901368	0.324225	-0.226726	-0.337986	-1.53623	-0.0895619	0.12980398	-0.166485	-0.389175	0.306209	-1.50595	0.269212	0.199224405	0.130108	-0.675688	1.3408	-0.762103	-0.109974983	-0.751038	1.82419	-0.961249	0.090730211	0.0866953	0.280416	-1.19093	0	0.627635	-0.112916196	0	0.463534	1.79715	-0.317986	-0.271661	-0.207304571	-0.043455221	2.49263	0.050214001	-0.342115	-1.0423	0.538306	0.340551	0.730127	-0.426240137	0.537665	1.14691	0.055701094	-0.235318	-0.03925325	0.042738634	0.285722855	0.157969893	-0.801722	-0.10820499	-0.063685469	-0.445118	-0.394375	0.66903	0.32279	-1.99395	1.30585	-0.679916	0.567307	0.162758	-0.226844096	1.34096	-0.51491	-0.11132429	-0.491483069	-0.00122087	0.205437	0.027756863	-0.192087074	-0.201273	0	0.0437691	-1.42968	-1.64096	-1.8802	-0.16875775	-0.228275	0.0286918	-0.104171175	1.27843	-0.044972689	0	0.612872	0.226184925
ABCC4:T646-p	-0.756287	0.269812	0.200016699	-0.009362227	0	-0.532639	1.48652	-0.781563	-1.32269	-0.281011	0.39324	1.77999	-0.243295	-0.148919	0	-0.10507	-1.10216	-0.269753	-0.465188	1.09998	2.37175	-0.487264	0.189306	0.461554	-0.109974983	-0.297702	-0.143068	0.364196	0.090730211	-0.653165	0.0181304	-0.659781	1.04206	1.66125	1.45044	-0.842819	0	0	-0.929284	-1.82278	-1.33631	2.42274	-0.0344021	-0.0334316	0	1.9159	0.0155855	-0.686892	0.640428	-0.426240137	-1.37292	0.089735583	0.055701094	2.69023	0.576649	-0.170401	0.734018	-0.142389	2.39152	0	-0.063685469	0.0345202	-0.207766	0.197024719	-1.22102	-1.24371	-0.471575	-0.728867	1.60489	1.89758	1.09272	1.12084	0.024378264	-0.11132429	-0.347437	0.259112	1.5329	0.443814	-0.268965	-0.364091	-0.328824	1.3067	-0.0197401	0.330712	0.063418735	1.31765	-1.55787	0	0	-0.704788	0.859919	-0.436859	-1.25298	0.226184925
ABCF1:S228-p	0.762674	1.22447	1.32688	0.0473182	-1.15779	-1.64175	0	-0.878081	0.296695	-0.827649	0.672327	1.81044	0.643444	-2.51316	-0.652623	0	0.0894648	2.05326	0	0.15737	-0.00984727	0	0.104551	-0.97576	-0.094312	-0.0813715	-1.75218	0.0592522	-0.6098	-0.37304	-0.0539153	-1.06064	1.007	-1.01985	0.347279	0	-1.31709	-0.637208	1.29039	0	-0.635713	0.09298	2.03958	0.049073	0	-0.0939636	0.197908	0.161802	0.593723	0.384941	-0.441322	1.34132	0	0	-0.536051	-0.360385	0.359373	-0.685685	-1.80731	0.200913	-0.712241	1.37785	-1.51346	1.7117	0	-0.616059	0.226564	-1.132	-0.6286	-0.412414	0	0.721042	1.05117	-2.2699	-2.26005	-2.11981	0	2.01299	-0.982223	-0.801371	0.221694	1.62229	-0.745482	-0.0909164	0.946732	-0.163607	1.09615	0	-0.5876	0.927703	0.286768	2.19929	0.441002	0.220166
ABCF1:S109-p	0.4904252	0.63149368	0.651593	0.981818	0.0522628	-2.12833	0.455193	-0.191626	0	-0.153012	0	0.995189	0.27666	0.475346	-0.775277	0.313638	-1.19089	1.45169	0	0.400894	-1.61297	-0.271262	0.825223	-1.0417	-1.28558	0.354518	-0.0429176	0.730394	-0.757215	-0.0105213	-0.0551213	-1.04188	1.4407	-0.229978	-0.634927	0	0.2333164	0	0.658985	-0.26416754	-1.65579	-0.531665	0.957125	0.0461277	0.11159	-0.584595	-0.311034	-0.697982	0.305963	-1.41074	-1.66644	0.796719	1.17728	1.84849	-0.707325	-1.05813	0.922641	0	-2.02762	-0.0511065	0	0.4865354	-1.19686	0	0.515821	0	0.0114142	-0.146516	-1.62832	-1.82755	-1.40939	0.00845472	1.12015	-1.00445	-1.49459	0.46826	-2.31704	-1.12343	-1.74304	-1.6032	0.271984	1.66392	0	1.50036	0.37267	-1.71312	0.245126	0	-0.963218	0.965663	0.807622	-0.620106	-0.960843	0.0165939
ABCF1:S140-p	0.435709	0.898596	-0.588964	-0.64573	0.091924011	-0.049563054	-0.075293651	-0.132102873	0.066937143	0.0422113	1.18225	1.90226	0.465221	0	0	-0.250777	0.965995	1.11981	0	0.563647	0	-1.13633	-2.14082	0	0.303632	-0.643975	0.295743	-0.0807069	-0.816157	0.250349	-0.282958	-2.12964	0.833969	-1.09628	-0.767076	-1.24387	-2.04953	-0.0428098	0.304099	-0.427031	-2.74483	0	1.67346	0.20358	0.783009	-0.312933	0	1.00515	0.197718	0.283294	-0.541722	-1.15239	2.28431	0.467589	-0.03925325	0.042738634	0.717857	-0.0810411	-0.573352	-0.247855	1.05413	1.12189	-0.982757	0.188772	0	-0.465482	1.87589	-0.566285	1.07618	-2.1962	-0.226844096	0.111566	0.602934	-0.261369	-1.22184	-1.20775	0.670266	0.0486163	-0.0193112	-0.788297	1.30891	1.5128	0.249244	0.509082	0	-1.15491	1.28542	0	-0.104171175	0.517109	1.33048	-1.84279	-0.715297	0
